,jfel,jmis,jot,pri,gender,age,charge,Race,two_year_recid
2904,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
860,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
3879,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
241,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
2186,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
296,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
3715,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3640,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0
2464,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0
581,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1
3665,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2099,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
3104,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0
2725,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
3007,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
3933,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1834,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
221,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
413,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1455,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
3361,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
2230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1611,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
3144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1615,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
3615,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2478,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3506,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
2891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2970,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
3297,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0
3639,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0
2203,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0
800,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
2740,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
1925,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
2539,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
1628,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
2717,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
829,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
1552,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
3213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
1226,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0
1280,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2844,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
2056,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0
4008,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1342,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
986,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
801,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2102,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1980,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2808,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
2895,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
3579,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
4005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1790,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3792,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
1852,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1943,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
2089,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
3043,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
4076,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
16,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1446,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
2603,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
4042,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2760,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
3492,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
2282,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
2589,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1
3784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2547,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
3366,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
4118,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3864,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
2285,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1
373,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
2211,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
3554,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0
1257,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0
936,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2219,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
94,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0
1821,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1
1679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
305,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
3403,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1716,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0
3806,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
952,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
37,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1036,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
3634,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
3828,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
506,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
3050,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
1267,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2036,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
3368,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3209,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
1303,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3609,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1
272,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
2335,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
3285,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
1748,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
3581,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2272,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0
2950,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0
582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3881,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2815,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
533,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
3993,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
838,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3141,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1577,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
3679,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
1398,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
3068,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
3510,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
1766,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2560,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
64,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
3220,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
1227,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
876,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
3247,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
303,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
3868,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0
2508,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2938,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
869,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
1186,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
89,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1
412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
341,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
4014,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3760,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
3623,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0
1889,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
481,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
416,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
887,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2826,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
1972,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0
3087,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
2735,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1
537,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
3606,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
569,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3060,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3357,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1739,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
299,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
999,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1
2724,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
3364,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
66,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
3556,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
2652,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0
796,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
1173,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0
3871,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0
2699,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
918,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
1144,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3897,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1
1521,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
1563,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
1539,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
2385,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
3799,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
461,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
450,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3770,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
3407,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
2512,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
3713,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1
2265,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
447,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
2039,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
74,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
3906,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
1911,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
1488,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
2473,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
2788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
3754,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0
1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1957,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0
3437,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
3401,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
2122,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
1968,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
3124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4020,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2495,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
4036,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1
730,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
3716,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
3375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2305,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3491,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3671,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
3580,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2523,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
1047,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2592,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
210,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
649,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
2246,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
761,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
878,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0
2033,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2876,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
3449,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1
2059,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
3139,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
1671,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1008,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
